config,hop,module,packetCnt,avgDelay
fail20_test1,1,Network.ospfRouter_1_1,1,0
fail20_test1,1,Network.ospfRouter_1_1,0,0
fail20_test1,1,Network.ospfRouter_1_2,1,0
fail20_test1,1,Network.ospfRouter_1_2,0,0
fail20_test1,1,Network.ospfRouter_1_3,1,0
fail20_test1,1,Network.ospfRouter_1_3,0,0
fail20_test1,1,Network.ospfRouter_1_4,1,0
fail20_test1,1,Network.ospfRouter_1_4,0,0
fail20_test1,1,Network.ospfRouter_1_5,1,0
fail20_test1,1,Network.ospfRouter_1_5,0,0
fail20_test1,1,Network.ospfRouter_1_6,1,0
fail20_test1,1,Network.ospfRouter_1_6,0,0
fail20_test1,1,Network.ospfRouter_2_1,1,0
fail20_test1,1,Network.ospfRouter_2_1,0,0
fail20_test1,1,Network.ospfRouter_2_2,1,0
fail20_test1,1,Network.ospfRouter_2_2,0,0
fail20_test1,1,Network.ospfRouter_2_3,1,0
fail20_test1,1,Network.ospfRouter_2_3,0,0
fail20_test1,1,Network.ospfRouter_2_4,1,0
fail20_test1,1,Network.ospfRouter_2_4,0,0
fail20_test1,1,Network.ospfRouter_2_5,1,0
fail20_test1,1,Network.ospfRouter_2_5,0,0
fail20_test1,1,Network.ospfRouter_2_6,1,0
fail20_test1,1,Network.ospfRouter_2_6,0,0
fail20_test1,1,Network.ospfRouter_3_1,1,0
fail20_test1,1,Network.ospfRouter_3_1,0,0
fail20_test1,1,Network.ospfRouter_3_2,1,0
fail20_test1,1,Network.ospfRouter_3_2,0,0
fail20_test1,1,Network.ospfRouter_3_3,1,0
fail20_test1,1,Network.ospfRouter_3_3,999,0.046913727447
fail20_test1,1,Network.ospfRouter_3_4,1,0
fail20_test1,1,Network.ospfRouter_3_4,0,0
fail20_test1,1,Network.ospfRouter_3_5,1,0
fail20_test1,1,Network.ospfRouter_3_5,0,0
fail20_test1,1,Network.ospfRouter_3_6,1,0
fail20_test1,1,Network.ospfRouter_3_6,0,0
fail20_test1,1,Network.ospfRouter_4_1,1,0
fail20_test1,1,Network.ospfRouter_4_1,0,0
fail20_test1,1,Network.ospfRouter_4_2,1,0
fail20_test1,1,Network.ospfRouter_4_2,0,0
fail20_test1,1,Network.ospfRouter_4_3,1,0
